year,office,office_name,approved,modified,accrued,shifted,ratio
2013,0500,Presidencia de la República,104114777.99999999,85816192.61999977,79085055.60999961,-18298585.379999995,-17.575396818307578
2013,1600,Organo Judicial,244384267.9999999,242155611.0,216436697.18999988,-2228657.0,-0.9119478181795241
2013,3300,Ramo de Trabajo y Previsión Social,14849645.0,14453469.000000007,14296047.86000001,-396176.00000000047,-2.6679156303063167
2013,4600,Ramo de Turismo,19088035.0,18771466.999999996,15309616.749999996,-316567.99999999907,-1.6584630109909115
2013,0600,Tribunal de Etica Gubernamental,2323750.0,2157587.0,1970011.980000001,-166162.99999999994,-7.1506401291016655
2013,1500,Consejo Nacional de la Judicatura,5914600.0,5913124.0000000065,5835496.430000006,-1476.0000000000437,-0.024955195617624923
2013,0100,Organo Legislativo,57856280.0,57856280.000000045,57483632.46000005,-5.360220711736474e-09,-9.264717178042684e-15
2013,1700,Fiscalía General de la República,39200374.999999866,39200375.00000003,39198604.12000003,-7.712515071034431e-10,-1.967459513087428e-15
2013,2300,Ramo de Gobernación y Desarrollo Territorial,19312265.0,19312264.999999993,18270704.54999996,-4.0745362639427185e-10,-2.1098179130944604e-15
2013,1900,Procuraduría para la Defensa de los Derechos Human,8900000.0,8899999.999999978,8573181.13999999,-1.4551915228366852e-10,-1.6350466548726798e-15
2013,0400,Tribunal de Servicio Civil,848270.0000000003,848270.0000000006,740227.0499999999,0.0,0.0
2013,0200,Corte de Cuentas de la República,36900000.0,36900000.0,36408209.480000004,6.402842700481415e-10,1.7351877237077004e-15
2013,0300,Tribunal Supremo Electoral,17450219.999999993,17623795.000000004,17229312.7,173575.0,0.9946865999397145
2013,0800,Ramo de Relaciones Exteriores,44510770.0,44851821.99999971,44514713.6399997,341052.0000000023,0.7662235454475452
2013,1800,Procuraduría General de la República,21200000.0,21721320.000000097,21719771.640000094,521320.00000000023,2.459056603773586
2013,3100,Ramo de Educación,863952875.0,865832174.0000007,859148838.320001,1879298.9999999965,0.2175233226696533
2013,4400,Ramo de Medio Ambiente y Recursos Naturales,12373080.000000028,16043316.00000001,15540743.250000006,3670235.999999999,29.66307499830269
2013,0900,Ramo de la Defensa Nacional,152380645.0,162880644.99999988,162359913.71999997,10500000.000000011,6.890638899710663
2013,2400,Ramo de Justicia y Seguridad Pública,356045830.0,370013776.9999997,365062553.43999976,13967947.000000019,3.9230755770963586
2013,4200,Ramo de Agricultura y Ganadería,72883584.99999994,99821698.00000007,65836608.74999991,26938113.000000007,36.96046647540736
2013,3200,Ramo de Salud,565621185.0000001,594397221.5400001,579291624.2399998,28776036.53999978,5.087510387362838
2013,4300,Ramo de Obras Públicas y de Transporte,258251584.0,299873826.0000002,255864898.0100001,41622241.999999985,16.116935801640615
2013,4100,Ramo de Economía,120425330.0,185366080.00000003,180111453.88000003,64940750.00000001,53.92615490445408
2013,0700,Ramo de Hacienda,1444373765.0,1523842859.9999995,1482460300.9299994,79469095.00000001,5.501975799179655
2014,0500,Presidencia de la República,99461689.0,85285646.17,78691461.67999983,-14176042.829999985,-14.25276704279573
2014,1600,Organo Judicial,254153999.99999985,251995239.9999998,217211471.43999955,-2158760.0,-0.8493905270033134
2014,3300,Ramo de Trabajo y Previsión Social,16931810.0,16883229.99999997,15421956.029999956,-48579.999999999825,-0.28691557488537744
2014,4600,Ramo de Turismo,19476713.0,19466208.0,18714623.56,-10505.000000000116,-0.05393620576531633
2014,1500,Consejo Nacional de la Judicatura,5848830.0,5848829.999999996,5812987.349999998,-1.6007106751203537e-10,-2.7368049252933558e-15
2014,1900,Procuraduría para la Defensa de los Derechos Human,9117430.0,9117429.999999996,8799965.119999997,-4.3655745685100555e-11,-4.788163515936021e-16
2014,0600,Tribunal de Etica Gubernamental,2295165.0,2295164.9999999995,2008599.8399999992,-3.637978807091713e-12,-1.585061992097175e-16
2014,0400,Tribunal de Servicio Civil,864975.9999999979,864975.9999999985,792743.1599999998,-2.7284841053187847e-12,-3.154404405808706e-16
2014,1700,Fiscalía General de la República,44575015.00000009,44575014.999999925,44557037.29999991,9.276845958083868e-11,2.0811761831339485e-16
2014,0200,Corte de Cuentas de la República,37400000.0,37399999.99999999,36380811.35000001,3.005879989359528e-10,8.037112271014781e-16
2014,2300,Ramo de Gobernación y Desarrollo Territorial,20370350.0,20370350.00000002,19832860.490000017,4.43833414465189e-10,2.1788207589225955e-15
2014,0100,Organo Legislativo,58501220.00000008,58501219.99999985,57205374.2699998,7.58154783397913e-09,1.2959640557887714e-14
2014,0300,Tribunal Supremo Electoral,16453649.999999993,16719259.99999999,16540331.229999997,265610.0000000002,1.6142922694964357
2014,4400,Ramo de Medio Ambiente y Recursos Naturales,24859185.000000007,25584870.000000007,13183550.650000015,725685.0000000002,2.9191825878442916
2014,1800,Procuraduría General de la República,24231460.0,25066772.99999998,25066772.869999982,835312.9999999994,3.4472252187858237
2014,0800,Ramo de Relaciones Exteriores,41698790.0,42780761.99999985,41757897.34999982,1081971.999999996,2.594732365135765
2014,3100,Ramo de Educación,884926870.0,887665803.0,874907643.2300013,2738932.9999999916,0.3095095304315928
2014,3200,Ramo de Salud,586312317.0,591927032.0000005,554968027.3599995,5614714.999999897,0.9576321078719375
2014,0900,Ramo de la Defensa Nacional,149455885.0,155487695.00000018,155395896.80000022,6031809.999999994,4.035846430537007
2014,4300,Ramo de Obras Públicas y de Transporte,243845440.0,252601194.0800001,219685573.6200003,8755754.080000004,3.5906983046310006
2014,4100,Ramo de Economía,135390870.0,148047356.00000003,144011485.29000017,12656485.999999998,9.348108923445132
2014,4200,Ramo de Agricultura y Ganadería,89001455.0,112351205.00000007,81648442.14000006,23349750.0,26.235245255260153
2014,2400,Ramo de Justicia y Seguridad Pública,356130605.0,379986639.00000006,357903036.4300002,23856034.00000002,6.698675616491882
2014,0700,Ramo de Hacienda,1537684869.9999995,2724865229.000003,2707600945.590004,1187180359.0000002,77.20569943567179
2015,4100,Ramo de Economía,139448280.0,113799361.0000001,109440077.45000015,-25648918.999999996,-18.393141170332107
2015,0500,Presidencia de la República,110658073.0,93980945.1999998,82092023.86999981,-16677127.800000053,-15.070864102251313
2015,1600,Organo Judicial,264848202.3000002,262759339.3,239656091.46000037,-2088863.000000003,-0.7887019741345631
2015,3300,Ramo de Trabajo y Previsión Social,15341850.0,15341849.999999974,14857910.569999982,-7.712515071034431e-10,-5.0271089021431126e-15
2015,0100,Organo Legislativo,58501220.0,58501220.00000008,56533428.30000006,-4.656612873077393e-10,-7.959856004844672e-16
2015,1900,Procuraduría para la Defensa de los Derechos Human,9510735.0,9510734.999999981,9158608.04999998,-3.901732270605862e-10,-4.102450831198495e-15
2015,1500,Consejo Nacional de la Judicatura,6280515.0,6280514.999999996,5981784.509999997,-1.9826984498649836e-10,-3.156904250471472e-15
2015,0600,Tribunal de Etica Gubernamental,2257845.0,2257845.0000000005,2006755.97,-9.094947017729282e-12,-4.0281538448074527e-16
2015,0400,Tribunal de Servicio Civil,851545.0000000007,851544.9999999999,742862.5599999998,-1.5916157281026244e-12,-1.8690917427765098e-16
2015,2300,Ramo de Gobernación y Desarrollo Territorial,21927505.0,21927504.999999974,21431365.199999977,2.6557245291769505e-10,1.2111384898450372e-15
2015,0200,Corte de Cuentas de la República,37785170.0,37785170.0,35981294.27,3.228706191293895e-10,8.544903175753596e-16
2015,0300,Tribunal Supremo Electoral,16495625.0,16735624.99999998,15057842.639999986,240000.00000000047,1.4549312317660015
2015,1800,Procuraduría General de la República,24733505.0,25173504.999999993,25171096.529999997,439999.99999999884,1.7789633939872203
2015,4600,Ramo de Turismo,17025335.0,17625334.999999996,16209646.32,599999.9999999995,3.5241597301903287
2015,0800,Ramo de Relaciones Exteriores,43645421.0,44751872.99999987,43831511.12999985,1106451.9999999902,2.5350929711503762
2015,4400,Ramo de Medio Ambiente y Recursos Naturales,20654374.999999993,22689915.99999999,14078426.159999996,2035541.0,9.855253426937395
2015,3200,Ramo de Salud,615684043.0,620628406.0300003,585166793.7999996,4944363.0299999565,0.8030682435601073
2015,3100,Ramo de Educación,917681780.0,930273958.0000011,926640967.7300003,12592178.000000011,1.3721726064998274
2015,0900,Ramo de la Defensa Nacional,148398485.0,161398484.99999985,161133373.55999982,12999999.999999994,8.760197248644415
2015,4300,Ramo de Obras Públicas y de Transporte,236119115.7,251613567.70000008,229089950.4000001,15494451.999999996,6.562133673110313
2015,1700,Fiscalía General de la República,44626045.00000001,62191585.999999896,48955747.4199999,17565541.00000001,39.36163511689196
2015,2400,Ramo de Justicia y Seguridad Pública,422721610.0,447850377.00000036,438567960.21000063,25128767.00000003,5.9445191363649545
2015,0700,Ramo de Hacienda,1549089565.0,1574678831.0,1549092102.9299998,25589266.000000015,1.651890670375797
2015,4200,Ramo de Agricultura y Ganadería,75902400.0,110792803.00000004,91271391.43000007,34890403.000000015,45.967456892008705
2016,0500,Presidencia de la República,103842805.0,98483767.04999991,86259894.54999967,-5359037.949999995,-5.160721486674012
2016,4100,Ramo de Economía,100701985.0,97144266.99999996,93604717.30999997,-3557718.0000000107,-3.5329174494425417
2016,1600,Organo Judicial,265468724.00000006,263449741.99999973,245300195.86999935,-2018982.0000000005,-0.7605347890247139
2016,4600,Ramo de Turismo,24458240.0,24239239.999999996,17332956.62,-219000.00000000015,-0.8954037575884453
2016,3300,Ramo de Trabajo y Previsión Social,13690755.0,13540755.000000013,13254824.98000001,-149999.99999999854,-1.0956298611727298
2016,0400,Tribunal de Servicio Civil,852160.0,798159.9999999994,780372.7799999991,-53999.9999999999,-6.33683815245962
2016,0600,Tribunal de Etica Gubernamental,2358600.0,2315349.9999999986,2275348.789999998,-43250.00000000006,-1.8337149156279173
2016,1500,Consejo Nacional de la Judicatura,6283295.0,6283294.999999991,5960689.209999985,-1.8326318240724504e-10,-2.9166732169545602e-15
2016,1800,Procuraduría General de la República,25433080.0,25433080.000000034,25430118.61000003,-2.9103830456733704e-11,-1.1443297648862702e-16
2016,0300,Tribunal Supremo Electoral,16621840.000000007,16621839.999999983,16596100.399999984,2.6193447411060333e-10,1.5758452380157867e-15
2016,1900,Procuraduría para la Defensa de los Derechos Human,10017210.0,10017209.999999987,9781012.369999986,6.289155862759799e-10,6.278350820996863e-15
2016,0200,Corte de Cuentas de la República,38785170.0,38785170.000000015,37569716.89999997,7.275957614183426e-10,1.875963832099595e-15
2016,0100,Organo Legislativo,59000000.0,59709528.44999995,57076858.80999992,709528.4500000007,1.2025905932203402
2016,2300,Ramo de Gobernación y Desarrollo Territorial,21955699.99999993,23780699.999999985,22613410.469999973,1824999.9999999963,8.312192278087249
2016,0800,Ramo de Relaciones Exteriores,44847340.0,46869792.00000008,46005956.480000064,2022451.9999999958,4.509636468963367
2016,4400,Ramo de Medio Ambiente y Recursos Naturales,22130765.000000004,24947100.000000015,24217800.47000001,2816334.999999999,12.725881821075768
2016,1700,Fiscalía General de la República,62682365.00000002,65861094.00000002,47739161.35000004,3178728.9999999977,5.0711695386732725
2016,3200,Ramo de Salud,627811389.9999999,632257326.5600007,612123096.9200011,4445936.560000014,0.7081643676455144
2016,3100,Ramo de Educación,942206294.0,949348638.999999,943052416.2499988,7142345.00000001,0.7580447132950282
2016,0900,Ramo de la Defensa Nacional,146139840.0,154062840.0000001,153903817.90000004,7923000.000000013,5.421519552779046
2016,4200,Ramo de Agricultura y Ganadería,73799920.0,87114534.00000004,77381598.56999995,13314613.999999998,18.041501942007525
2016,2400,Ramo de Justicia y Seguridad Pública,443342155.0000005,462311555.0,435803989.86999995,18969400.000000037,4.278726889844259
2016,4300,Ramo de Obras Públicas y de Transporte,200238852.0,226990268.0000001,199613135.79999992,26751415.999999985,13.359752981404421
2016,0700,Ramo de Hacienda,1582175845.0,1619850719.9999993,1596959483.689999,37674875.000000015,2.3812065592494247
2017,4600,Ramo de Turismo,26775523.0,23603300.999999996,19789353.639999997,-3172222.000000001,-11.847469795454606
2017,3200,Ramo de Salud,629822596.9999998,627452646.0000008,618551552.5300002,-2369950.9999999763,-0.3762886583124576
