"year","muni_contab_id","account","amount"
"2010","8203","231","15198.33984375"
"2010","8203","241","941752.125"
"2010","8203","243","38639.0703125"
"2010","8203","251","22088.220703125"
"2010","8203","252","1033900.9624023438"
"2010","8203","412","11173.14013671875"
"2010","8203","413","65744.20024108887"
"2010","8203","422","100000"
"2010","8203","424","36148.83203125"
"2010","8203","811","1889930.3100585938"
"2010","8203","819","-20"
"2010","8203","831","0"
"2010","8203","833","959762.3876953125"
"2010","8203","834","1122869.90625"
"2010","8203","835","28231.490234375"
"2010","8203","836","10947.89013671875"
"2010","8203","837","111000.0234375"
"2010","8203","851","422292.625"
"2010","8203","855","770"
"2010","8203","856","526121.75"
"2010","8203","857","1659291.75"
"2010","8203","858","813785.8125"
"2010","8203","859","122499.2890625"
"2010","8204","211","395347.46875"
"2010","8204","212","1710"
"2010","8204","213","1771218.6796875"
"2010","8204","222","35337.140625"
"2010","8204","225","0"
"2010","8204","226","3164.580078125"
"2010","8204","241","537337.515625"
"2010","8204","243","4004618"
"2010","8204","251","163412.828125"
"2010","8204","252","-0.0302734375"
"2010","8204","412","7325.5201416015625"
"2010","8204","413","51037.830017089844"
"2010","8204","424","-0.00048828125"
"2010","8204","811","6121770.949996948"
"2010","8204","831","862611.549987793"
"2010","8204","833","479816.8125"
"2010","8204","834","281348.875"
"2010","8204","835","2326.739990234375"
"2010","8204","836","14961.4599609375"
"2010","8204","837","30810.529296875"
"2010","8204","838","50297.359375"
"2010","8204","839","853425.6650390625"
"2010","8204","851","1119531.109375"
"2010","8204","856","293500.1875"
"2010","8204","857","824393.75"
"2010","8204","858","1048670.125"
"2010","8204","859","21515.64013671875"
"2010","8205","211","58882.831787109375"
"2010","8205","213","10885.984375"
"2010","8205","222","35337.140625"
"2010","8205","225","66899.0078125"
"2010","8205","241","78196.12890625"
"2010","8205","243","196074.52734375"
"2010","8205","251","5627.759765625"
"2010","8205","252","0"
"2010","8205","412","2046.8699645996094"
"2010","8205","413","22165.69937133789"
"2010","8205","422","253689.6953125"
"2010","8205","424","569.5204315185547"
"2010","8205","811","40557.99609375"
"2010","8205","831","250060.37939453125"
"2010","8205","833","201713.9375"
"2010","8205","834","110772.34375"
"2010","8205","835","218"
"2010","8205","836","53389.68886756897"
"2010","8205","837","6314.89990234375"
"2010","8205","838","5205.759765625"
"2010","8205","839","359.0400085449219"
"2010","8205","851","40509.078125"
"2010","8205","856","149778.390625"
"2010","8205","857","426905.53125"
"2010","8205","858","101769.34375"
"2010","8205","859","41945.31008911133"
"2010","8206","211","177380.79498291016"
"2010","8206","212","19343.000198364258"
"2010","8206","213","35274.36535644531"
"2010","8206","221","35142.859375"
"2010","8206","225","12967.48876953125"
"2010","8206","231","183.1799955368042"
"2010","8206","241","79525.95166015625"
"2010","8206","243","122940.6171875"
"2010","8206","251","21046.66015625"
"2010","8206","252","29463.550000190735"
"2010","8206","412","643.5799980163574"
"2010","8206","413","34460.768615722656"
"2010","8206","422","0"
