year,contab,class,kind,group,amount,id,shp,department,municipality,population
2020,8101,ACR,Ingresos,INGDEU,293029.0625,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,ACR,Ingresos,INGPRP,3197422.3472042084,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,ACR,Ingresos,TRFREC,6188471.391357422,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,APR,Egresos,AMTDEU,693130.0185546875,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,APR,Egresos,GASTOS,7584541.250518799,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,APR,Egresos,INVERS,2345635.253753662,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,APR,Ingresos,INGDEU,0.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,APR,Ingresos,INGPRP,6414600.089477539,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,APR,Ingresos,TRFREC,4208706.15625,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,MOD,Egresos,AMTDEU,766497.8623046875,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,MOD,Egresos,GASTOS,8582462.353349686,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,MOD,Egresos,INVERS,3590917.8886756897,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,MOD,Ingresos,INGDEU,293029.0625,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,MOD,Ingresos,INGPRP,6414600.089477539,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,MOD,Ingresos,TRFREC,6232248.9609375,1101,1,Ahuachapán,Ahuachapán,110511.0
2021,8101,ACR,Egresos,AMTDEU,475359.2216796875,1101,1,Ahuachapán,Ahuachapán,110511.0
2021,8101,ACR,Egresos,GASTOS,4059256.2863411903,1101,1,Ahuachapán,Ahuachapán,110511.0
2021,8101,ACR,Egresos,INVERS,918977.1919021606,1101,1,Ahuachapán,Ahuachapán,110511.0
2021,8101,ACR,Ingresos,INGPRP,2267063.6767959595,1101,1,Ahuachapán,Ahuachapán,110511.0
2021,8101,ACR,Ingresos,TRFREC,1970749.201171875,1101,1,Ahuachapán,Ahuachapán,110511.0
