"code","funding","fundpop","fundeq","fundpov","fundter","pop","popurb","cases","shp2","dep","mun","area","party","trfpop","dens","infpop","quintile","grp","agr"
905,580057.06,259338.941569459,182919.845496183,76987.8019485346,60810.4613538671,9525,21.4,49,35,"Chalatenango","La Reina",133.5,"ARENA-PCN",60.8983790026247,0.071348314606742,5.14435695538058,3,2,3
913,248505.18,35325.8066119499,182919.845496183,13483.1293336754,16776.3967465388,940,32,5,36,"Chalatenango","Las Vueltas",36.83,"FMLN",264.367212765957,0.025522671734999,5.31914893617021,1,5,5
918,405066.44,147451.256185072,182919.845496183,56279.0957668126,18416.2288504633,4484,18.2,8,37,"Chalatenango","Nombre de Jesús",40.43,"FMLN",90.3359589652096,0.110907741775909,1.78412132024978,2,4,4
902,1357469.72,742412.50690391,182919.845496183,314848.328876365,117289.0394832,28625,34.4,283,38,"Chalatenango","Nueva Concepción",257.49,"ARENA",47.4225229694323,0.111169365800614,9.88646288209607,5,3,2
912,258839.76,39673.5903488053,182919.845496183,15142.5910978201,21103.7378541173,1673,13.2,5,39,"Chalatenango","Nueva Trinidad",46.33,"FMLN",154.715935445308,0.036110511547593,2.98864315600717,1,5,5
917,347469.85,107845.604175905,182919.845496183,41162.4390715572,15541.97305164,3667,21.8,18,40,"Chalatenango","Ojos de Agua",34.12,"GANA",94.7558903736024,0.107473622508792,4.90864466866649,1,4,4
919,269794.34,53735.9766539469,182919.845496183,15952.1518890087,17186.3572725199,1586,48.4,18,41,"Chalatenango","Potonico",37.73,"ARENA",170.109924337957,0.042035515504903,11.3493064312736,1,5,5
924,277808.11,60427.5031083258,182919.845496183,23063.9260813544,11396.8366222753,1854,7,1,42,"Chalatenango","San Antonio de la Cruz",25.05,"ARENA",149.842562028047,0.074011976047904,0.539374325782093,1,5,5
929,237897.81,35020.0940835773,182919.845496183,14851.6083579267,5106.2531069427,1619,38.2,18,43,"Chalatenango","San Antonio Los Ranchos",11.21,"GANA",146.94120444719,0.144424620874219,11.1179740580605,1,5,5
931,285405.9,61548.4157123589,182919.845496183,20881.5655321537,20056.0609543878,2593,24.3,11,44,"Chalatenango","San Fernando",44.03,"FMLN-GANA",110.067836482838,0.058891664774018,4.2421905129194,1,4,4
933,227093.73,31215.7770638288,182919.845496183,7942.94865233829,5015.15076783578,862,69.4,10,45,"Chalatenango","San Francisco Lempa",11.01,"FMLN",263.449802784223,0.078292461398729,11.6009280742459,1,5,5
920,330856.02,77411.0580179171,182919.845496183,26263.2926422618,44261.8204550956,3919,18,5,46,"Chalatenango","San Francisco Morazán",97.17,"FMLN",84.423582546568,0.040331377997324,1.2758356723654,1,4,4
907,512840.31,222824.294013838,182919.845496183,75597.7092554794,31498.4587462166,8611,14.3,44,47,"Chalatenango","San Ignacio",69.15,"FMLN",59.5564173731274,0.124526391901663,5.10974335152712,2,2,3
923,201453.05,4110.01954812109,182919.845496183,1568.70635516801,12854.464047986,2592,38.1,2,48,"Chalatenango","San Isidro Labrador",28.22,"FMLN",77.7210841049383,0.091849751948972,0.771604938271605,1,4,4
928,268794.43,50475.1363513053,182919.845496183,19265.311105617,16134.128255835,1751,38.1,1,49,"Chalatenango","San José Cancasque",35.42,"FMLN",153.509097658481,0.049435347261434,0.571102227298686,1,5,5
916,262645.13,50611.0030305821,182919.845496183,17170.8188095525,11943.4506569168,1583,37,3,50,"Chalatenango","San José Las Flores",26.22,"FMLN",165.916064434618,0.060373760488177,1.89513581806696,1,5,5
927,252667.79,46297.1784635459,182919.845496183,13743.8569372433,9706.90123184201,1173,23.4,3,51,"Chalatenango","San Luis del Carmen",21.31,"FMLN",215.403060528559,0.055044580009385,2.55754475703325,1,5,5
926,285765.15,74863.5302814784,182919.845496183,19049.2444175774,8932.53134943322,2487,41.3,43,52,"Chalatenango","San Miguel de Mercedes",19.61,"PCN",114.903558504222,0.126823049464559,17.2899075190993,1,5,5
